,name,code,credit,quota,campus,classroom
15,美術教學實習（教）,ATUE010,2,60,本部,美506
103,物理教學實習（一）（教）,PHUE110,2,60,公館,Ｓ307
117,物理教材教法（教）,PHUE001,2,60,公館,Ｓ303
144,物理教學實習（一）（教）,PHUE110,2,60,公館,Ｓ407
219,數學教學實習（一）（教）,MAUE110,2,36,公館,數學館M211
258,數學教材教法（教）,MAUE001,2,60,公館,數學館M211
265,學習評量（教）,MAUE074,2,60,公館,數學館M212
270,教學媒體與運用（教）,MAUE076,2,60,公館,理圖801
276,數學教學實習（一）（教）,MAUE110,2,40,公館,數學館417教學實驗室
376,資訊科技教材教法（教）,CSUE301,2,60,公館,Ｓ203
588,表演藝術科教材教法（教）,PAUE001,2,60,本部,綜904
606,家政教材教法（教）,HGUE001,2,48,本部,正101
621,家政教學實習（二）（教）,HGUE410,2,60,本部,誠205
650,生涯規劃教學實習（教）,PCUE110,2,60,本部,教515
663,輔導教學實習（一）（教）,PCUE210,2,60,本部,教511
718,大學入門,0SUG538,2,60,本部,誠207
719,哲學入門,02UG001,2,65,公館,理圖001
720,邏輯思考與應用,05UG001,2,155,本部,誠101
721,鑑識科學概論,03UG031,2,120,本部,綜210展覽廳
722,大學入門,0SUG526,2,60,本部,樸401
723,運算思維與程式設計,05UG016,2,55,公館,理圖801
724,心理學,0AUG402,2,75,本部,誠108
725,大學入門,0SUG534,2,70,公館,Ｓ101
726,日語（二）,0HUG652,2,60,本部,誠109
727,莎士比亞的故事,0HUG432,2,80,本部,誠202
728,植物與人生,06UG009,2,90,公館,Ｓ101
729,越南語（一）,0HUG649,2,50,本部,誠109
730,大學入門,0SUG532,2,60,公館,Ｓ404
731,舞蹈鑑賞,01UG012,3,60,本部,誠101
732,大學入門,0SUG536,2,54,本部,誠104
733,統計學,05UG020,2,60,本部,教401
734,奈米科技,06UG005,2,60,本部,樸401
735,學術寫作,0HUG011,2,60,本部,誠401
736,資訊科技與生活,06UG012,2,54,本部,誠104
737,遊戲程式設計,05UG025,2,55,本部,教401
738,３Ｄ列印與創新應用,0NUG253,2,90,本部,誠302
739,宇宙中的生命與太空環境,06UG021,2,67,本部,誠203
740,日語（一）,0HUG501,2,60,本部,誠109
741,中國古代思想的現代意義,02UG008,2,60,本部,誠302
742,日語（一）,0HUG501,2,50,公館,理圖002
743,數位音樂與聲音合成之基礎程式設計,05UG027,2,45,本部,教402
744,通識教育講座,0SUG523,2,72,本部,誠301
745,現代公民與法律,03UG005,2,54,本部,誠104
746,臺灣文史與城市發展,04UG024,2,65,本部,誠301
747,西班牙語（一）,0HUG503,2,50,本部,正203
748,韓語（一）,0HUG506,2,55,公館,理圖001
749,科技產業營業秘密保護與智慧財產權,03UG042,2,55,本部,正301
750,智慧型手機與開放軟體之日常物理學習,06UG023,2,35,公館,Ｄ101
751,樂府詩與人生,0HUG249,2,145,本部,誠101
752,大學入門,0SUG532,2,70,公館,Ｅ201
753,文學與藝術,0AUG215,2,60,本部,誠701A
754,科技倫理,05UG011,2,70,本部,誠109
755,認識臺灣的原住民,04UG012,2,60,本部,誠108
756,馬來語 （一）,0HUG655,2,50,本部,誠205
757,大學入門,0SUG534,2,55,本部,樸206
758,生活中的化學,06UG007,2,135,本部,綜210展覽廳
759,閩南語概論,0HUG210,2,95,本部,教103
760,運算思維與程式設計,05UG016,2,55,本部,教401
761,心理學,0AUG402,2,100,本部,教103
762,大學入門,0SUG526,2,60,本部,教513
763,大學入門,0SUG531,2,120,本部,綜210展覽廳
764,大學入門,0SUG538,2,60,本部,樸404
765,哲學入門,02UG001,2,65,公館,理圖001
766,法語（一）,0HUG502,2,55,本部,正301
767,思考方法,02UG002,2,70,公館,理圖001
768,運算思維與程式設計,05UG016,2,55,公館,理圖801
769,生活中的統計,05UG015,2,60,本部,誠109
770,大學入門,0SUG526,2,55,本部,教600
771,物理與生活,0AUG426,2,60,公館,Ｂ101
772,環境倫理與永續發展,06UG006,2,100,本部,誠201
